Flight Number,Airline,Origin Airport,Destination Airport,Scheduled Departure Time,Actual Departure Time,Scheduled Arrival Time,Actual Arrival Time,Date,Day of the Week,Distance (miles),Weather Conditions,Delay (minutes)
DE5478,Delta,BOS,ATL,2024-05-18 08:28,2024-05-18 09:25,2024-05-18 11:54,2024-05-18 11:53,2024-05-11,Saturday,478,Clear,57
FR706,Frontier,PHX,PHL,2024-05-18 14:02,2024-05-18 16:26,2024-05-18 18:37,2024-05-18 19:18,2024-05-26,Sunday,2650,Thunderstorm,144
AM2073,American,LAS,PHX,2024-05-18 03:53,2024-05-18 04:50,2024-05-18 07:01,2024-05-18 07:12,2024-05-30,Thursday,2809,Clear,57
FR5569,Frontier,PHL,DEN,2024-05-08 12:46,2024-05-08 14:17,2024-05-08 18:08,2024-05-08 18:58,2024-05-06,Monday,2378,Clear,91
AM3860,American,DEN,DTW,2024-05-09 14:56,2024-05-09 17:14,2024-05-09 18:06,2024-05-09 18:26,2024-05-25,Saturday,1219,Clear,138
JE8410,JetBlue,DTW,BWI,2024-05-23 14:51,2024-05-23 17:46,2024-05-23 19:43,2024-05-23 20:07,2024-05-18,Saturday,1489,Thunderstorm,175
DE6034,Delta,DTW,JFK,2024-05-01 10:29,2024-05-01 11:59,2024-05-01 13:24,2024-05-01 13:52,2024-05-15,Wednesday,1927,Fog,90
JE3085,JetBlue,LAS,DEN,2024-05-08 23:21,2024-05-09 02:00,2024-05-09 04:24,2024-05-09 04:15,2024-05-28,Tuesday,2891,Snow,159
AM922,American,SEA,MIA,2024-05-22 07:59,2024-05-22 08:46,2024-05-22 10:18,2024-05-22 10:36,2024-05-21,Tuesday,1889,Thunderstorm,47
SP5199,Spirit,DEN,DTW,2024-05-30 17:15,2024-05-30 19:33,2024-05-30 19:19,2024-05-30 19:43,2024-05-09,Thursday,2711,Snow,138
JE7487,JetBlue,PHX,ORD,2024-05-22 08:05,2024-05-22 09:26,2024-05-22 09:24,2024-05-22 09:33,2024-05-26,Sunday,720,Fog,81
AL4160,Alaska,CLT,ATL,2024-05-09 18:32,2024-05-09 19:31,2024-05-09 21:27,2024-05-09 21:29,2024-05-10,Friday,1405,Thunderstorm,59
FR2613,Frontier,DTW,DEN,2024-05-20 03:56,2024-05-20 04:33,2024-05-20 06:00,2024-05-20 05:58,2024-05-03,Friday,1110,Clear,37
SP5010,Spirit,PHX,BWI,2024-05-29 01:02,2024-05-29 01:29,2024-05-29 03:12,2024-05-29 03:13,2024-05-29,Wednesday,2731,Clear,27
UN6996,United,LAS,JFK,2024-05-20 02:58,2024-05-20 04:28,2024-05-20 07:29,2024-05-20 07:36,2024-05-20,Monday,761,Clear,90
SP2301,Spirit,ATL,MCO,2024-05-19 06:17,2024-05-19 07:12,2024-05-19 08:39,2024-05-19 09:01,2024-05-26,Sunday,1451,Thunderstorm,55
JE2377,JetBlue,ORD,MCO,2024-05-27 22:58,2024-05-28 00:01,2024-05-28 02:55,2024-05-28 02:40,2024-05-29,Wednesday,1701,Snow,63
JE1501,JetBlue,JFK,MCO,2024-05-28 21:10,2024-05-28 21:26,2024-05-29 01:18,2024-05-29 01:08,2024-05-19,Sunday,2201,Fog,16
SP7477,Spirit,MIA,BOS,2024-05-27 08:30,2024-05-27 09:18,2024-05-27 11:11,2024-05-27 11:49,2024-05-21,Tuesday,2473,Clear,48
JE4802,JetBlue,CLT,FLL,2024-05-03 08:38,2024-05-03 10:00,2024-05-03 10:50,2024-05-03 11:47,2024-05-13,Monday,2984,Snow,82
FR9565,Frontier,ATL,BWI,2024-05-15 03:10,2024-05-15 04:31,2024-05-15 08:35,2024-05-15 08:25,2024-05-16,Thursday,2943,Thunderstorm,81
UN4638,United,JFK,MIA,2024-05-23 09:45,2024-05-23 12:03,2024-05-23 11:13,2024-05-23 12:09,2024-05-28,Tuesday,228,Rain,138
SP6965,Spirit,JFK,ORD,2024-05-15 04:05,2024-05-15 05:12,2024-05-15 05:43,2024-05-15 06:00,2024-05-01,Wednesday,1603,Fog,67
SO6871,Southwest,DEN,IAH,2024-05-12 21:03,2024-05-12 22:11,2024-05-13 00:22,2024-05-13 00:39,2024-05-12,Sunday,2143,Thunderstorm,68
JE6790,JetBlue,ATL,IAH,2024-05-20 07:32,2024-05-20 08:33,2024-05-20 10:46,2024-05-20 11:04,2024-05-08,Wednesday,322,Fog,61
FR6682,Frontier,PHX,MIA,2024-05-06 00:18,2024-05-06 01:56,2024-05-06 06:05,2024-05-06 06:43,2024-05-04,Saturday,646,Snow,98
SP3979,Spirit,CLT,DFW,2024-05-23 08:37,2024-05-23 11:15,2024-05-23 12:04,2024-05-23 12:23,2024-05-08,Wednesday,1840,Rain,158
DE5999,Delta,DFW,FLL,2024-05-29 14:15,2024-05-29 16:02,2024-05-29 18:38,2024-05-29 18:51,2024-05-30,Thursday,2533,Snow,107
AL9404,Alaska,DEN,LAX,2024-05-27 17:44,2024-05-27 18:43,2024-05-27 20:40,2024-05-27 20:38,2024-05-27,Monday,2482,Snow,59
JE2316,JetBlue,DFW,LAX,2024-05-24 12:50,2024-05-24 14:05,2024-05-24 17:26,2024-05-24 18:20,2024-05-16,Thursday,2844,Fog,75
AM9680,American,ATL,LAS,2024-05-20 12:52,2024-05-20 15:03,2024-05-20 14:13,2024-05-20 14:01,2024-05-08,Wednesday,2094,Clear,131
JE790,JetBlue,DTW,IAH,2024-05-23 04:09,2024-05-23 05:48,2024-05-23 10:07,2024-05-23 10:55,2024-05-30,Thursday,1954,Snow,99
FR2567,Frontier,JFK,SFO,2024-05-02 17:53,2024-05-02 19:41,2024-05-02 22:59,2024-05-02 23:30,2024-05-20,Monday,814,Rain,108
UN4883,United,DFW,LAX,2024-05-07 03:31,2024-05-07 05:10,2024-05-07 07:03,2024-05-07 07:03,2024-05-09,Thursday,2545,Rain,99
FR4998,Frontier,SFO,DTW,2024-05-11 16:40,2024-05-11 19:23,2024-05-11 22:01,2024-05-11 21:59,2024-05-20,Monday,402,Fog,163
AM7425,American,MSP,IAH,2024-05-09 22:16,2024-05-10 01:10,2024-05-10 03:28,2024-05-10 03:43,2024-05-24,Friday,397,Fog,174
FR1231,Frontier,LAX,JFK,2024-05-09 19:39,2024-05-09 22:28,2024-05-09 23:50,2024-05-10 00:06,2024-05-28,Tuesday,2205,Rain,169
JE7105,JetBlue,FLL,SFO,2024-05-11 21:40,2024-05-12 00:26,2024-05-11 23:40,2024-05-11 23:38,2024-05-17,Friday,2051,Rain,166
UN8891,United,PHL,FLL,2024-05-26 08:27,2024-05-26 10:47,2024-05-26 13:41,2024-05-26 14:19,2024-05-18,Saturday,2339,Thunderstorm,140
DE5590,Delta,BWI,DTW,2024-05-10 19:14,2024-05-10 21:13,2024-05-11 00:43,2024-05-11 00:50,2024-05-17,Friday,1635,Fog,119
DE2238,Delta,DTW,ATL,2024-05-08 11:29,2024-05-08 12:48,2024-05-08 13:01,2024-05-08 13:40,2024-05-08,Wednesday,1117,Rain,79
UN831,United,ORD,IAH,2024-05-08 11:31,2024-05-08 13:33,2024-05-08 13:33,2024-05-08 14:18,2024-05-30,Thursday,2530,Clear,122
AM6745,American,IAH,MCO,2024-05-09 14:55,2024-05-09 17:41,2024-05-09 16:39,2024-05-09 16:32,2024-05-01,Wednesday,2609,Snow,166
AM4888,American,PHX,LAS,2024-05-25 22:25,2024-05-25 22:30,2024-05-25 23:44,2024-05-26 00:01,2024-05-05,Sunday,220,Thunderstorm,5
SP8182,Spirit,JFK,MIA,2024-05-27 19:39,2024-05-27 21:51,2024-05-27 23:48,2024-05-27 23:37,2024-05-16,Thursday,2500,Clear,132
JE8035,JetBlue,IAH,MCO,2024-05-11 23:22,2024-05-11 23:56,2024-05-12 03:38,2024-05-12 03:57,2024-05-07,Tuesday,2483,Thunderstorm,34
SO1902,Southwest,LAS,DEN,2024-05-01 12:12,2024-05-01 13:23,2024-05-01 14:00,2024-05-01 14:30,2024-05-15,Wednesday,1319,Clear,71
SP9000,Spirit,CLT,ATL,2024-05-22 14:19,2024-05-22 14:37,2024-05-22 19:22,2024-05-22 19:46,2024-05-24,Friday,2280,Rain,18
DE8496,Delta,DFW,DEN,2024-05-06 07:28,2024-05-06 10:23,2024-05-06 13:05,2024-05-06 13:08,2024-05-27,Monday,1860,Fog,175
UN7667,United,DEN,LAS,2024-05-07 14:24,2024-05-07 14:49,2024-05-07 15:36,2024-05-07 15:31,2024-05-28,Tuesday,2778,Clear,25
DE1884,Delta,MCO,LAX,2024-05-17 00:42,2024-05-17 01:30,2024-05-17 06:24,2024-05-17 06:17,2024-05-13,Monday,814,Snow,48
JE2017,JetBlue,MIA,ATL,2024-05-11 19:11,2024-05-11 20:30,2024-05-12 00:12,2024-05-12 00:10,2024-05-17,Friday,850,Rain,79
AM6199,American,SEA,BOS,2024-05-04 00:43,2024-05-04 01:35,2024-05-04 04:40,2024-05-04 04:50,2024-05-14,Tuesday,1039,Rain,52
SO6885,Southwest,BWI,LAX,2024-05-20 00:33,2024-05-20 01:55,2024-05-20 02:33,2024-05-20 03:19,2024-05-24,Friday,1087,Snow,82
DE3239,Delta,CLT,MSP,2024-05-04 15:05,2024-05-04 17:46,2024-05-04 18:13,2024-05-04 18:13,2024-05-11,Saturday,1458,Rain,161
JE7968,JetBlue,PHL,DEN,2024-05-02 10:50,2024-05-02 12:01,2024-05-02 13:20,2024-05-02 14:13,2024-05-21,Tuesday,299,Clear,71
AM7783,American,DTW,BOS,2024-05-27 08:46,2024-05-27 10:31,2024-05-27 13:09,2024-05-27 14:06,2024-05-10,Friday,687,Snow,105
SO3339,Southwest,JFK,CLT,2024-05-01 00:52,2024-05-01 01:18,2024-05-01 05:29,2024-05-01 05:29,2024-05-26,Sunday,2215,Thunderstorm,26
SO2233,Southwest,IAH,BWI,2024-05-11 19:33,2024-05-11 21:42,2024-05-11 21:14,2024-05-11 22:11,2024-05-23,Thursday,2848,Snow,129
JE634,JetBlue,ATL,SEA,2024-05-14 16:29,2024-05-14 18:57,2024-05-14 17:50,2024-05-14 17:36,2024-05-27,Monday,1085,Rain,148
AL9733,Alaska,PHX,BWI,2024-05-28 21:37,2024-05-28 22:19,2024-05-28 22:37,2024-05-28 22:26,2024-05-18,Saturday,765,Rain,42
DE5714,Delta,JFK,ORD,2024-05-07 12:56,2024-05-07 13:34,2024-05-07 18:38,2024-05-07 18:41,2024-05-10,Friday,1194,Fog,38
AL2473,Alaska,PHL,CLT,2024-05-20 11:41,2024-05-20 14:17,2024-05-20 17:06,2024-05-20 17:33,2024-05-16,Thursday,717,Clear,156
AM9274,American,PHL,ORD,2024-05-16 07:30,2024-05-16 08:34,2024-05-16 13:11,2024-05-16 13:35,2024-05-19,Sunday,1823,Clear,64
SO8700,Southwest,JFK,BWI,2024-05-01 16:10,2024-05-01 18:19,2024-05-01 17:47,2024-05-01 18:10,2024-05-14,Tuesday,1411,Thunderstorm,129
UN4946,United,DFW,PHX,2024-05-29 22:31,2024-05-30 00:39,2024-05-30 03:20,2024-05-30 03:34,2024-05-18,Saturday,1727,Thunderstorm,128
DE5704,Delta,JFK,DEN,2024-05-25 07:44,2024-05-25 09:01,2024-05-25 09:11,2024-05-25 09:22,2024-05-19,Sunday,2127,Fog,77
DE2314,Delta,ATL,MCO,2024-05-03 14:26,2024-05-03 14:40,2024-05-03 19:57,2024-05-03 20:05,2024-05-30,Thursday,2848,Rain,14
UN8479,United,ATL,SEA,2024-05-14 21:34,2024-05-14 23:15,2024-05-15 00:35,2024-05-15 00:39,2024-05-09,Thursday,2660,Clear,101
AM9562,American,DTW,JFK,2024-05-17 00:59,2024-05-17 03:21,2024-05-17 03:11,2024-05-17 03:29,2024-05-26,Sunday,1528,Fog,142
FR6825,Frontier,ORD,MIA,2024-05-19 05:59,2024-05-19 07:46,2024-05-19 08:24,2024-05-19 09:04,2024-05-08,Wednesday,1123,Fog,107
