Hospital Name,City,State,Nearest Airport 1,Distance to Airport 1 (miles),Nearest Airport 2,Distance to Airport 2 (miles),Nearest Airport 3,Distance to Airport 3 (miles)
St. Mary's Hospital,Atlanta,GA,ATL,32.7,PBI,47.7,BHM,38.0
Lakeside Medical Center,Washington,DC,DCA,46.6,IAD,44.9,BWI,21.1
Urban Health Clinic,Atlanta,GA,ATL,4.7,PBI,36.1,BHM,0.5
Community Hospital,Los Angeles,CA,LAX,24.4,BUR,11.8,LGB,19.7
Northeast Medical Center,Miami,FL,MIA,45.8,FLL,19.3,PBI,32.2
Harbor Hospital,New York,NY,JFK,44.2,LGA,15.5,EWR,47.6
City Medical Center,Washington,DC,DCA,37.8,IAD,41.0,BWI,21.4
Green Valley Hospital,Seattle,WA,SEA,42.1,PAE,48.7,BFI,1.1
City Medical Center,Chicago,IL,ORD,1.0,MDW,41.4,RFD,16.3
Memorial Hospital,Miami,FL,MIA,24.9,FLL,6.7,PBI,30.4
Urban Health Clinic,Seattle,WA,SEA,14.1,PAE,8.0,BFI,35.7
Coastal Health Center,Phoenix,AZ,PHX,40.9,AZA,30.9,SDL,9.1
Main Street Medical Center,Miami,FL,MIA,44.3,FLL,27.2,PBI,17.3
Mountain View Hospital,Los Angeles,CA,LAX,21.9,BUR,12.7,LGB,48.4
Eastside Medical Center,Atlanta,GA,ATL,17.5,PBI,15.4,BHM,5.4
Pine Valley Hospital,Miami,FL,MIA,41.5,FLL,28.2,PBI,41.7
Main Street Medical Center,St. Louis,MO,STL,13.7,CPS,46.5,BLV,38.9
Northeast Medical Center,Seattle,WA,SEA,16.0,PAE,30.7,BFI,7.3
Downtown Medical Center,Miami,FL,MIA,3.3,FLL,44.2,PBI,20.2
Central Clinic,Seattle,WA,SEA,2.7,PAE,48.5,BFI,16.6
Green Valley Hospital,Atlanta,GA,ATL,42.5,PBI,27.6,BHM,36.7
Pine Valley Hospital,New York,NY,JFK,27.3,LGA,48.3,EWR,44.5
Harbor Hospital,New York,NY,JFK,16.9,LGA,8.1,EWR,16.3
Mountain View Hospital,San Francisco,CA,SFO,24.9,OAK,33.6,SJC,30.6
Main Street Medical Center,New York,NY,JFK,47.6,LGA,26.7,EWR,20.6
Northeast Medical Center,San Francisco,CA,SFO,22.2,OAK,44.1,SJC,18.0
St. Mary's Hospital,San Francisco,CA,SFO,34.5,OAK,23.7,SJC,6.4
Coastal Health Center,Los Angeles,CA,LAX,18.6,BUR,40.7,LGB,36.0
Sunrise Hospital,Chicago,IL,ORD,28.9,MDW,24.0,RFD,42.6
West End Hospital,Washington,DC,DCA,27.6,IAD,29.1,BWI,40.0
