Hotel Name,City,State,Nearest Airport 1,Distance to Airport 1 (miles),Nearest Airport 2,Distance to Airport 2 (miles),Nearest Airport 3,Distance to Airport 3 (miles),Average Price per Night (USD),Cab Service Name,Hospital Name,Nearest Airport 1,Distance to Airport 1 (miles),Nearest Airport 2,Distance to Airport 2 (miles),Nearest Airport 3,Distance to Airport 3 (miles)
Mountain Peak Lodge,Atlanta,GA,ATL,37.7,PBI,49.2,BHM,3.1,237.96,Premier Rides,St. Mary's Hospital,ATL,32.7,PBI,47.7,BHM,38
Garden Court Hotel,Atlanta,GA,ATL,21.3,PBI,9.6,BHM,33.4,284.05,Yellow Cab,Sunrise Hospital,ATL,36.6,PBI,39.6,BHM,30.7
Harbor View Hotel,Atlanta,GA,ATL,24.9,PBI,47.2,BHM,35.2,242.86,Best Taxi,Central Clinic,ATL,5.2,PBI,32.7,BHM,9.2
Maple Leaf Lodge,Atlanta,GA,ATL,4.7,PBI,28.7,BHM,10.8,199.77,Metro Taxi,Riverfront Medical Center,ATL,9.6,PBI,8.7,BHM,27.1
Metro Inn,Atlanta,GA,ATL,38.1,PBI,41.4,BHM,4.7,258.6,BlueLine Taxi,Lakeside Medical Center,ATL,2.8,PBI,48.1,BHM,30.5
Bay Area Hotel,Atlanta,GA,ATL,27.1,PBI,29.4,BHM,24.6,282.44,Speedy Taxi,Harbor Hospital,ATL,13.6,PBI,17.7,BHM,36.7
Mountain Peak Lodge,Atlanta,GA,ATL,10.4,PBI,10.3,BHM,15.5,112.18,Eagle Taxi,Lakeside Medical Center,ATL,46.9,PBI,8.2,BHM,19.6
Palm Grove Hotel,Atlanta,GA,ATL,36.4,PBI,43.6,BHM,31.9,118.17,Quick Ride,Riverfront Medical Center,ATL,47.5,PBI,14.7,BHM,45.9
Golden Gate Hotel,Atlanta,GA,ATL,0.6,PBI,49.3,BHM,2.8,177.76,City Cab,West End Hospital,ATL,26.2,PBI,36.3,BHM,5.6
Central Park Inn,Atlanta,GA,ATL,21.5,PBI,1.7,BHM,9.2,152.72,Yellow Cab,West End Hospital,ATL,46,PBI,47.7,BHM,22.8
Crystal Waters Hotel,Atlanta,GA,ATL,13.3,PBI,32.7,BHM,21.5,291.9,Green Cab,Pine Valley Hospital,ATL,18.3,PBI,6.6,BHM,27.9
Palm Grove Hotel,Atlanta,GA,ATL,31.3,PBI,10.7,BHM,27,262.87,Royal Cab,Northside Hospital,ATL,45.4,PBI,38.2,BHM,1.1
Riverfront Hotel,Atlanta,GA,ATL,14.6,PBI,37.9,BHM,42.2,123.48,Town Car Service,Regional Medical Center,ATL,38,PBI,25,BHM,34.2
Palm Grove Hotel,Atlanta,GA,ATL,6,PBI,16.8,BHM,48.7,154.21,BlueLine Taxi,Central Clinic,ATL,33.3,PBI,42.3,BHM,11.8
Sunset Inn,Atlanta,GA,ATL,49.3,PBI,39.8,BHM,33.2,238.61,BlueLine Taxi,Lakeside Medical Center,ATL,35.4,PBI,1.8,BHM,0.6
Lakeside Inn,Atlanta,GA,ATL,48.9,PBI,47.9,BHM,5.3,132.5,Star Taxi,Northside Hospital,ATL,23.2,PBI,1.4,BHM,45
Palm Grove Hotel,Atlanta,GA,ATL,9.5,PBI,21.6,BHM,25,233.52,TopRide Taxi,Sunrise Hospital,ATL,34.8,PBI,26.5,BHM,25.5
Mountain Peak Lodge,Atlanta,GA,ATL,41.7,PBI,46.4,BHM,42.2,155.4,Speedy Taxi,Riverfront Medical Center,ATL,23.8,PBI,33.6,BHM,1.5
Sunset Inn,Atlanta,GA,ATL,37.3,PBI,21.7,BHM,30,249.58,Royal Cab,Valley Health Center,ATL,23,PBI,19.7,BHM,32
City Center Lodge,Atlanta,GA,ATL,16.3,PBI,14.5,BHM,12.7,103,Premier Rides,Urban Health Clinic,ATL,44.5,PBI,33.2,BHM,20.9
Maple Leaf Lodge,Atlanta,GA,ATL,7,PBI,47.5,BHM,43.9,101.11,Town Car Service,Northside Hospital,ATL,26.7,PBI,45.8,BHM,29.3
Broadway Hotel,Atlanta,GA,ATL,42,PBI,6.1,BHM,8.8,116.28,Liberty Taxi,Pine Valley Hospital,ATL,43.6,PBI,20.2,BHM,35.2
Maple Leaf Lodge,Atlanta,GA,ATL,42.1,PBI,12.9,BHM,18.6,208.7,Reliable Rides,Northside Hospital,ATL,12.5,PBI,22.8,BHM,12.5
Golden Gate Hotel,Atlanta,GA,ATL,1.5,PBI,9.4,BHM,37.8,248.68,BlueLine Taxi,St. Mary's Hospital,ATL,6.1,PBI,29.7,BHM,18.2
Metro Inn,Atlanta,GA,ATL,38.5,PBI,33.3,BHM,31.3,195.59,Sunshine Taxi,Regional Medical Center,ATL,42.5,PBI,26.3,BHM,34.9
