Hotel Name,City,State,Nearest Airport 1,Distance to Airport 1 (miles),Nearest Airport 2,Distance to Airport 2 (miles),Nearest Airport 3,Distance to Airport 3 (miles),Average Price per Night (USD)
Mountain Peak Lodge,Atlanta,GA,ATL,37.7,PBI,49.2,BHM,3.1,237.96
Grand Plaza,St. Louis,MO,STL,34.5,CPS,29.8,BLV,19.4,151.26
Central Park Inn,New York,NY,JFK,22.7,LGA,15.7,EWR,31.4,109.06
Golden Gate Hotel,New York,NY,JFK,42.7,LGA,6.8,EWR,22.4,110.5
Ocean View Hotel,Phoenix,AZ,PHX,49.7,AZA,31.2,SDL,11.4,119.15
Bay Area Hotel,Miami,FL,MIA,14.3,FLL,26.1,PBI,46.2,265.08
Capitol Stay,Chicago,IL,ORD,15.6,MDW,9.0,RFD,43.4,120.36
Garden Court Hotel,Washington,DC,DCA,6.8,IAD,3.5,BWI,33.3,257.71
Broadway Hotel,Los Angeles,CA,LAX,36.9,BUR,37.4,LGB,5.1,195.35
Grand Plaza,San Francisco,CA,SFO,18.2,OAK,34.6,SJC,33.2,120.63
Urban Retreat,St. Louis,MO,STL,32.2,CPS,4.2,BLV,7.7,275.67
Central Park Inn,Miami,FL,MIA,8.9,FLL,4.4,PBI,49.8,203.61
Maple Leaf Lodge,Seattle,WA,SEA,46.7,PAE,14.1,BFI,39.3,134.12
Metro Inn,Los Angeles,CA,LAX,40.9,BUR,37.2,LGB,27.2,203.24
Riverfront Hotel,New York,NY,JFK,22.6,LGA,43.7,EWR,30.5,232.52
Lakeside Inn,New York,NY,JFK,11.7,LGA,18.9,EWR,23.9,255.32
Pine Tree Inn,Atlanta,GA,ATL,49.2,PBI,5.8,BHM,42.9,116.89
Sunset Inn,Los Angeles,CA,LAX,45.7,BUR,1.6,LGB,18.6,242.96
Palm Grove Hotel,New York,NY,JFK,14.7,LGA,25.2,EWR,13.8,132.0
Sunset Inn,Miami,FL,MIA,34.4,FLL,36.0,PBI,11.0,298.42
Emerald Isle Hotel,Los Angeles,CA,LAX,11.7,BUR,19.6,LGB,16.0,146.28
Central Park Inn,Atlanta,GA,ATL,8.2,PBI,9.3,BHM,19.7,233.38
Urban Retreat,Miami,FL,MIA,11.0,FLL,18.5,PBI,33.2,268.05
Pine Tree Inn,Miami,FL,MIA,16.5,FLL,30.2,PBI,38.9,136.75
Grand Plaza,Chicago,IL,ORD,2.7,MDW,14.3,RFD,40.2,273.3
Desert Resort,Atlanta,GA,ATL,18.3,PBI,18.3,BHM,20.2,191.65
City Center Lodge,Phoenix,AZ,PHX,38.3,AZA,4.4,SDL,40.9,220.96
Palm Grove Hotel,Los Angeles,CA,LAX,1.0,BUR,14.5,LGB,28.7,230.32
Riverfront Hotel,Miami,FL,MIA,20.8,FLL,40.4,PBI,44.5,203.07
Maple Leaf Lodge,Atlanta,GA,ATL,44.6,PBI,32.1,BHM,31.0,207.32
Urban Retreat,Los Angeles,CA,LAX,28.6,BUR,19.8,LGB,33.9,283.43
Garden Court Hotel,Atlanta,GA,ATL,34.4,PBI,30.1,BHM,20.8,158.63
Riverfront Hotel,Chicago,IL,ORD,6.3,MDW,24.5,RFD,31.1,269.51
Lakeside Inn,San Francisco,CA,SFO,25.7,OAK,47.4,SJC,38.4,109.73
Garden Court Hotel,New York,NY,JFK,37.3,LGA,10.1,EWR,33.2,178.09
Palm Grove Hotel,Atlanta,GA,ATL,18.4,PBI,21.9,BHM,29.2,243.23
Sapphire Hotel,St. Louis,MO,STL,49.0,CPS,46.9,BLV,22.8,121.51
Grand Plaza,San Francisco,CA,SFO,17.7,OAK,8.2,SJC,17.7,103.35
Urban Retreat,Phoenix,AZ,PHX,48.8,AZA,16.1,SDL,22.8,245.7
Maple Leaf Lodge,Phoenix,AZ,PHX,19.0,AZA,25.4,SDL,40.6,206.11
Skyline Suites,Atlanta,GA,ATL,34.3,PBI,22.8,BHM,37.3,199.37
Coastal Breeze Hotel,Seattle,WA,SEA,23.5,PAE,1.3,BFI,15.6,261.19
Capitol Stay,Los Angeles,CA,LAX,4.6,BUR,14.0,LGB,31.8,259.33
Maple Leaf Lodge,Chicago,IL,ORD,20.2,MDW,48.1,RFD,3.7,273.42
Lakeside Inn,San Francisco,CA,SFO,22.3,OAK,18.3,SJC,49.7,282.41
Ocean View Hotel,Washington,DC,DCA,21.2,IAD,48.7,BWI,48.6,295.01
Sapphire Hotel,Phoenix,AZ,PHX,29.5,AZA,37.0,SDL,20.6,216.55
Ocean View Hotel,Phoenix,AZ,PHX,37.2,AZA,10.8,SDL,46.3,185.79
Palm Grove Hotel,Phoenix,AZ,PHX,2.9,AZA,2.9,SDL,39.4,131.74
Lakeside Inn,Chicago,IL,ORD,16.2,MDW,47.8,RFD,23.8,102.59
Lakeside Inn,San Francisco,CA,SFO,10.2,OAK,30.3,SJC,41.9,108.57
Golden Gate Hotel,Los Angeles,CA,LAX,45.9,BUR,18.2,LGB,0.9,271.37
Mountain Peak Lodge,Washington,DC,DCA,6.0,IAD,24.7,BWI,24.7,292.34
Lakeside Inn,Atlanta,GA,ATL,33.2,PBI,24.0,BHM,47.6,296.09
Riverfront Hotel,Phoenix,AZ,PHX,26.0,AZA,23.7,SDL,7.5,238.75
Ocean View Hotel,Miami,FL,MIA,15.2,FLL,26.8,PBI,36.9,243.41
Ocean View Hotel,San Francisco,CA,SFO,37.5,OAK,9.8,SJC,27.4,142.16
Mountain Peak Lodge,New York,NY,JFK,27.5,LGA,19.2,EWR,45.8,235.43
Sapphire Hotel,Phoenix,AZ,PHX,20.4,AZA,9.4,SDL,35.6,247.0
Capitol Stay,Washington,DC,DCA,49.7,IAD,23.2,BWI,17.6,111.41
Ocean View Hotel,San Francisco,CA,SFO,45.8,OAK,5.4,SJC,21.0,185.96
Pine Tree Inn,Phoenix,AZ,PHX,5.6,AZA,31.1,SDL,23.9,268.12
Mountain Peak Lodge,Atlanta,GA,ATL,29.9,PBI,8.1,BHM,33.3,265.01
Golden Gate Hotel,Seattle,WA,SEA,21.7,PAE,6.9,BFI,1.9,100.95
Riverfront Hotel,New York,NY,JFK,45.9,LGA,29.7,EWR,0.9,188.2
Lakeside Inn,San Francisco,CA,SFO,42.8,OAK,17.7,SJC,13.5,280.64
Metro Inn,New York,NY,JFK,36.9,LGA,17.2,EWR,15.8,140.14
Capitol Stay,St. Louis,MO,STL,19.1,CPS,2.9,BLV,6.6,291.32
Golden Gate Hotel,Atlanta,GA,ATL,19.2,PBI,40.0,BHM,46.7,226.23
Ocean View Hotel,Seattle,WA,SEA,40.8,PAE,37.9,BFI,7.0,123.16
Coastal Breeze Hotel,San Francisco,CA,SFO,43.9,OAK,11.4,SJC,32.3,126.18
Desert Resort,Atlanta,GA,ATL,18.6,PBI,30.1,BHM,12.2,253.93
Metro Inn,New York,NY,JFK,8.5,LGA,29.1,EWR,32.3,265.56
Lakeside Inn,Chicago,IL,ORD,11.4,MDW,42.4,RFD,36.0,109.72
Central Park Inn,San Francisco,CA,SFO,45.2,OAK,38.5,SJC,38.3,264.07
Bay Area Hotel,Atlanta,GA,ATL,49.9,PBI,22.8,BHM,22.8,260.73
Ocean View Hotel,New York,NY,JFK,22.2,LGA,22.4,EWR,15.4,162.16
